geneID,KEGGID,S2_1,S2_2,S2_3,CPSF1_1,CPSF1_2,CPSF1_3
gene273,MMP0252,7841,3623,5559,5466,5003,5107
gene274,MMP0253,28852,18716,25217,5509,4023,4620
gene275,MMP0254,1012,594,742,469,485,460
gene276,MMP0255,2175,957,1540,1739,1494,1533
gene277,MMP0256,3642,1097,2197,3709,2979,3308
gene278,MMP0257,4210,2445,3313,4322,3961,3932
gene279,MMP0258,9611,4014,4896,5750,4892,5426
gene28,MMP0023,2177,1322,1572,1635,1540,1654
gene280,MMP0259,79408,42085,60890,62857,58469,58249
gene281,MMP0260,57071,54954,50949,44770,42768,41534
gene282,MMP0261,1404,410,855,904,770,896
gene283,MMP0262,1061,398,646,751,610,644
gene284,MMP0263,1550,1037,1364,1786,1720,1680
gene285,MMP0264,839,565,808,888,800,833
gene286,MMP0265,161,81,145,306,314,376
gene287,MMP0266,1006,412,659,660,594,618
gene288,MMP0267,1330,814,1036,944,858,874
gene289,MMP0268,1024,567,780,697,681,633
gene29,MMP0024,2639,1691,2194,1896,1835,1950
gene290,MMP0269,522,218,327,572,518,539
gene291,MMP0270,766,265,477,276,390,343
gene292,MMP0271,851,473,625,387,473,469
gene293,MMP0272,840,678,730,347,499,469
gene294,MMP0273,1022,601,727,412,507,554
gene295,MMP0274,1175,680,1049,392,429,467
gene296,MMP0275,309,131,228,601,641,571
gene297,MMP0276,1314,495,908,1579,1417,1387
gene298,MMP0277,2785,1188,1784,1981,1803,1809
gene299,MMP0278,945,1071,1120,852,850,885
gene3,--,3,1,4,1,3,0
gene30,MMP0025,2288,1047,1603,3988,3423,3740
gene300,MMP0279,1807,1393,2013,1545,1421,1437
gene301,MMP0280,1117,669,994,808,820,861
gene302,MMP0281,1951,1177,1671,4105,3874,3792
gene303,MMP0282,1240,569,794,345,301,301
gene304,MMP0283,351,464,517,500,557,539
gene305,MMP0284,6415,3372,4787,8151,7596,7586
gene306,MMP0285,6167,3111,4356,6675,6110,5687
gene307,MMP0286,49,26,25,69,63,74
gene308,MMP0287,1290,758,941,2184,2120,2014
gene309,MMP0288,220,59,136,896,857,823
gene31,MMP0026,7392,4151,6037,32377,31270,30494
gene310,MMP0289,3642,1915,2735,3226,2964,2985
gene311,MMP0290,4915,1501,3103,2738,2453,2456
gene312,MMP0291,3894,2913,3822,7291,7082,7089
gene313,MMP0292,99,9,46,186,183,181
gene314,MMP0293,1397,825,1272,1165,1044,1071
gene315,MMP0294,4229,2796,3459,3695,3469,3491
gene316,MMP0295,4102,1897,3040,3749,3230,3404
gene317,MMP0296,1754,850,1331,7392,7213,7267
gene318,MMP0297,5680,3117,4181,5936,5866,5554
gene319,MMP0298,28878,19118,22807,22251,21927,20711
