813763,821649,"MMP0826"
821650,822505,"MMP0828"
822506,828790,"MMP0834"
828791,829722,"MMP0835"
829723,832383,"MMP0837"
832384,834019,"MMP0839"
834020,834556,"MMP0840"
834557,838282,"MMP0845"
838283,839216,"MMP0847"
839217,839898,"MMP0848"
839899,842609,"MMP0851"
842610,843266,"MMP0852"
843267,856222,"MMP0865"
856223,857796,"MMP0866"
857797,858699,"MMP0867"
858700,859546,"MMP0868"
859547,866661,"MMP0874"
866662,869522,"MMP0876"
869523,870603,"MMP0877"
870604,872195,"MMP0879"
872196,873802,"MMP0880"
873803,874946,"MMP0881"
874947,876371,"MMP0883"
876372,877367,"MMP0884"
877368,877974,"MMP0885"
877975,879295,"MMP0886"
879296,880212,"MMP0887"
880213,880636,"MMP0888"
880637,880955,"MMP0889"
880956,884847,"MMP0892"
884848,891545,"MMP0898"
891546,896279,"MMP0901"
896280,897383,"MMP0902"
897384,897787,"MMP0903"
897788,898296,"MMP0904"
898297,899384,"MMP0905"
899385,899977,"MMP0906"
899978,900933,"MMP0907"
900934,902427,"MMP0910"
902428,902899,"MMP0911"
902900,903556,"MMP0912"
903557,903792,"MMP0913"
903793,904188,"MMP0914"
904189,906776,"MMP0918"
906777,908415,"MMP0919"
908416,909214,"MMP0920"
909215,919439,"MMP0930"
919440,920322,"MMP0931"
920323,920951,"MMP0932"
920952,921656,"MMP0933"
921657,922112,"MMP0934"
922113,925590,"MMP0938"
925591,926379,"MMP0939"
926380,927079,"MMP0940"
927080,927431,"MMP0941"
927432,929000,"MMP0942"
929001,929826,"MMP0943"
929827,930301,"MMP0944"
930302,933286,"MMP0946"
933287,934878,"MMP0947"
934879,940241,"MMP0952"
940242,940779,"MMP0953"
940780,941822,"MMP0954"
941823,946238,"MMP0957"
946239,946911,"MMP0958"
946912,947275,"MMP0959"
947276,948263,"MMP0960"
948264,952509,"MMP0965"
952510,953174,"MMP0966"
953175,959495,"MMP0972"
959496,959986,"MMP0973"
959987,960830,"MMP0974"
960831,961541,"MMP0975"
961542,964056,"MMP0978"
964057,964340,"MMP0979"
964341,964809,"MMP0980"
964810,966196,"MMP0981"
966197,967365,"MMP0982"
967366,968128,"MMP0983"
968129,969513,"MMP0984"
969514,970041,"MMP0985"
970042,972543,"MMP0986"
972544,973423,"MMP0987"
973424,974237,"MMP0988"
974238,975268,"MMP0989"
975269,981206,"MMP0993"
981207,981403,"MMP0994"
981404,981799,"MMP0995"
981800,982388,"MMP0996"
982389,982883,"MMP0997"
982884,984278,"MMP0999"
984279,984862,"MMP1000"
984863,986571,"MMP1002"
986572,987348,"MMP1003"
987349,988522,"MMP1004"
988523,989167,"MMP1005"
989168,989744,"MMP1006"
989745,991056,"MMP1007"
991057,992021,"MMP1008"
992022,993042,"MMP1009"
993043,994323,"MMP1010"
994324,995327,"MMP1011"
995328,997149,"MMP1012"
997150,1004396,"MMP1017"
1004397,1008301,"MMP1020"
1008302,1009427,"MMP1021"
1009428,1010991,"MMP1022"
1010992,1012241,"MMP1023"
