"ID","GeneID","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"gene95","MMP0083",7959.45256896112,0.207263189835135,0.108673351282444,1.9072126458717,0.0564930565762704,0.0799524222388662
"gene96","MMP0084",781.77155155645,1.13506393209328,0.145144150082985,7.82025270356622,5.27174000007923e-15,2.77277787466854e-14
"gene97","MMP0085",1692.48136088049,0.687230342644741,0.0949510344383525,7.23773413012082,4.56242701371931e-13,2.10997280791953e-12
"gene98","MMP0086",1014.31879828732,0.432933693973949,0.190713819781727,2.27006985896168,0.0232033447629274,0.0349438405745966
"gene99","MMP0087",3017.12007474915,-0.294917159505024,0.0786315682772201,-3.75062034201425,0.000176397619031246,0.00035040879902261
"gene100","MMP0088",1871.08922024473,0.0389844600758492,0.088761385842133,0.439205175831585,0.66051287504774,0.71138367104775
"gene101","MMP0089",314.093734630836,0.673747523687222,0.281215730504903,2.3958386768676,0.0165823868809383,0.0253629910453241
"gene102","MMP0090",431.272085957872,2.75918869326745,0.263347671554154,10.4773612653722,1.09763595253401e-25,1.02874178104517e-24
"gene103","MMP0091",5396.34541238063,1.27298684330095,0.0987130870478857,12.8958264944487,4.75141581681614e-38,6.54062083533597e-37
"gene104","MMP0092",2166.77523043211,0.722955748497534,0.266293694894207,2.71488120957857,0.00662995470925885,0.0107371141523107
"gene105","MMP0093",9153.7575262811,-0.715637855831137,0.112454761104944,-6.36378441250073,1.968423815403e-10,7.28647639231112e-10
"gene106","MMP0094",2640.24134040881,-0.117486007823798,0.147120127474748,-0.798571955043772,0.424538654804192,0.483228107083324
"gene107","MMP0095",1079.79601556013,-0.425891649456301,0.0857135256818205,-4.96877996872122,6.73754690498993e-07,1.7205156009554e-06
"gene108","MMP0096",1986.42535544466,2.92252797486334,0.122474480823106,23.8623422220049,7.53977297816392e-126,5.31403199500993e-124
"gene109","MMP0097",179.401182058047,-0.103813797757357,0.176829838468806,-0.587083032231972,0.557147942707539,0.613175936946086
"gene110","MMP0098",3443.21412935193,-0.520208383995639,0.25500261041184,-2.04001199499676,0.0413491310429747,0.0599647480639683
"gene111","MMP0099",1407.32527703028,-0.264516420512711,0.151886430916297,-1.74154082703071,0.0815888233100691,0.110840020564643
"gene112","MMP0100",2280.95560647467,-0.676147461344187,0.119486965162209,-5.65875499830704,1.52475038726647e-08,4.64811450235904e-08
"gene113","MMP0101",1844.67853388459,-0.835781358032788,0.106442164920602,-7.85197631649281,4.09531841538132e-15,2.17347923129575e-14
"gene114","MMP0102",345.014402518767,0.115249617751946,0.182217337716385,0.632484368371839,0.527070419623647,0.584086842375388
"gene115","MMP0103",6103.36242137506,-1.66219251571212,0.341763109600865,-4.86358085181676,1.15280903655455e-06,2.88120499632499e-06
"gene124","MMP0104",1007.30280922169,2.87615234104593,0.153552077016169,18.7307941184219,2.7774204006517e-78,9.78762949189658e-77
"gene125","MMP0105",2159.03077546005,0.519270258594886,0.113186149246355,4.58775443861659,4.48039202731739e-06,1.05259343361776e-05
